house_id,neighborhood,house_type,rooms,bathrooms,furnishing,distance_from_central_tamale_km,electricity,water,compound,monthly_rent_ghs
TAM-001,Tishegu,2 Bedroom,3,2,Unfurnished,11.9,Prepaid,Available,Yes,1150
TAM-002,Nyohini,2 Bedroom,3,2,Unfurnished,11.1,Prepaid,Available,Yes,1400
TAM-003,Fuo,Chamber and Hall,2,2,Unfurnished,5.1,Prepaid,Available,No,800
TAM-004,Vittin,Chamber and Hall,2,1,Furnished,7.5,Prepaid,Available,Yes,1300
TAM-005,Dungu,3 Bedroom,4,3,Unfurnished,6.4,Prepaid,Available,Yes,1700
TAM-006,Vittin,3 Bedroom,4,3,Unfurnished,10.3,Prepaid,Available,Yes,1950
TAM-007,Jisonayili,2 Bedroom,3,2,Furnished,13.5,Postpaid,Available,Yes,1650
TAM-008,Kanvilli,Chamber and Hall,2,1,Unfurnished,12.6,Postpaid,Available,Yes,750
TAM-009,Lamashegu,Single Room,1,1,Unfurnished,6.5,Postpaid,Available,Yes,550
TAM-010,Tishegu,2 Bedroom,3,3,Unfurnished,2.3,Prepaid,Available,Yes,1250
TAM-011,Nyohini,Chamber and Hall,2,2,Unfurnished,6.4,Postpaid,Available,Yes,1000
TAM-012,Education Ridge,2 Bedroom,3,3,Unfurnished,7.2,Prepaid,Available,Yes,1700
TAM-013,Dungu,3 Bedroom,4,4,Unfurnished,6.7,Prepaid,Not Available,Yes,1850
TAM-014,Fuo,2 Bedroom,3,2,Unfurnished,13.2,Postpaid,Available,Yes,1200
TAM-015,Education Ridge,Chamber and Hall,2,1,Unfurnished,4.2,Prepaid,Available,Yes,1050
TAM-016,Kanvilli,2 Bedroom,3,3,Unfurnished,4.4,Prepaid,Available,Yes,1200
TAM-017,Lamashegu,Single Room,1,1,Unfurnished,4.5,Prepaid,Available,Yes,650
TAM-018,Jisonayili,Chamber and Hall,2,1,Unfurnished,5.8,Prepaid,Available,Yes,850
TAM-019,Sagnarigu,Single Room,1,1,Semi-Furnished,11.7,Prepaid,Available,Yes,600
TAM-020,Lamashegu,Single Room,1,1,Unfurnished,10.7,Prepaid,Available,Yes,600
TAM-021,Vittin,2 Bedroom,3,2,Unfurnished,2.3,Postpaid,Available,No,1400
TAM-022,Education Ridge,Single Room,1,1,Unfurnished,10.7,Postpaid,Available,Yes,550
TAM-023,Lamashegu,Single Room,1,1,Unfurnished,13.6,Postpaid,Available,Yes,600
TAM-024,Dungu,3 Bedroom,4,4,Semi-Furnished,10.0,Postpaid,Available,Yes,2050
TAM-025,Vittin,Chamber and Hall,2,1,Furnished,14.6,Prepaid,Available,Yes,1150
TAM-026,Lamashegu,Single Room,1,1,Unfurnished,3.5,Postpaid,Available,Yes,700
TAM-027,Vittin,2 Bedroom,3,2,Unfurnished,9.3,Prepaid,Not Available,Yes,1400
TAM-028,Lamashegu,Single Room,1,1,Semi-Furnished,4.9,Postpaid,Available,No,750
TAM-029,Kanvilli,3 Bedroom,4,3,Semi-Furnished,14.3,Prepaid,Not Available,No,1800
TAM-030,Kanvilli,Single Room,1,1,Unfurnished,7.8,Prepaid,Not Available,Yes,600
